City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,wangaratta,-36.3667,146.3333,16.93,63,68,4.92,AU,1681093045
156,kauhajoki,62.4333,22.1833,-2.01,99,100,1.66,FI,1681093045
157,jablonne nad orlici,50.0296,16.6006,3.36,94,15,0.88,CZ,1681093046
158,nome,64.5011,-165.4064,-16.58,65,0,7.2,US,1681093046
159,baykit,61.67,96.37,-14.65,92,100,0.84,RU,1681093046
160,vengerovo,55.6848,76.7471,0.73,82,71,5.96,RU,1681093046
161,souillac,-20.5167,57.5167,25.21,83,40,5.14,MU,1681093047
162,selty,57.3132,52.1345,-0.17,89,23,2.19,RU,1681093047
163,rawson,-43.3002,-65.1023,11.51,41,100,9.11,AR,1681093047
164,vanimo,-2.6741,141.3028,28.63,68,96,0.48,PG,1681093047
165,ancud,-41.8697,-73.8203,11.34,97,100,4.64,CL,1681093048
166,port hardy,50.6996,-127.4199,8.0,76,75,7.2,CA,1681093048
167,dubbo,-32.25,148.6167,16.07,44,40,5.14,AU,1681092963
168,ochamchira,42.7121,41.4721,10.83,55,81,1.96,GE,1681093049
169,tiksi,71.6872,128.8694,-16.33,80,100,2.69,RU,1681093049
170,airai,-8.9266,125.4092,20.79,76,96,1.95,TL,1681093049
171,talnakh,69.4865,88.3972,-24.13,93,31,1.26,RU,1681093049
172,buin,-33.7333,-70.75,22.84,28,53,0.82,CL,1681093050
173,kruisfontein,-34.0033,24.7314,10.49,81,0,3.82,ZA,1681093050
174,half moon bay,37.4636,-122.4286,20.23,54,0,8.75,US,1681092834
175,shiyan,32.6475,110.7781,23.63,45,100,0.95,CN,1681092916
176,price,39.5994,-110.8107,15.62,30,0,3.6,US,1681092936
177,cabra,37.4725,-4.4421,15.21,52,16,1.29,ES,1681092685
178,chicama,-7.8447,-79.1469,26.3,76,96,2.99,PE,1681093052
179,duvan,55.695,57.9024,1.0,74,17,2.31,RU,1681093052
180,buala,-8.145,159.5921,29.25,71,100,1.37,SB,1681093053
181,turayf,31.6725,38.6637,20.14,30,0,2.06,SA,1681093053
182,aasiaat,68.7098,-52.8699,-13.66,100,81,0.39,GL,1681093053
183,bambous virieux,-20.3428,57.7575,25.14,83,40,5.14,MU,1681093054
184,volsk,52.0333,47.3833,4.28,50,7,2.18,RU,1681093054
185,rio grande,-32.035,-52.0986,21.09,89,0,3.95,BR,1681093054
186,gat,31.61,34.7642,25.99,31,100,7.02,IL,1681093055
187,sakaiminato,35.55,133.2333,18.99,42,20,6.69,JP,1681093055
188,nizwa,22.9333,57.5333,21.58,66,58,1.05,OM,1681093055
189,gayeri,12.6497,0.4931,30.59,15,100,3.27,BF,1681093056
190,comodoro rivadavia,-45.8667,-67.5,2.92,48,0,2.57,AR,1681092833
191,bethel,41.3712,-73.414,6.48,64,0,0.0,US,1681093056
192,hualahuises,24.8847,-99.6733,18.66,96,100,1.28,MX,1681093057
193,touros,-5.1989,-35.4608,24.82,92,100,3.99,BR,1681093057
194,champerico,14.3,-91.9167,28.86,66,14,2.55,GT,1681093057
195,torbay,47.6666,-52.7314,-2.46,65,75,8.23,CA,1681092936
196,texarkana,33.4251,-94.0477,16.12,84,0,1.54,US,1681092828
197,sao filipe,14.8961,-24.4956,22.16,67,3,4.44,CV,1681092796
198,brest,52.1,23.7,6.98,93,79,2.0,BY,1681093058
199,saint-augustin,51.226,-58.6502,-2.4,92,100,2.8,CA,1681093058
200,vikindu,-7.0067,39.2985,22.47,96,100,1.61,TZ,1681093059
201,vandavasi,12.5,79.6167,27.02,75,6,1.81,IN,1681093059
202,aksarka,66.5606,67.7975,-14.57,81,100,9.29,RU,1681093059
203,yar-sale,66.8333,70.8333,-14.65,94,100,6.99,RU,1681093060
204,caxito,-8.5785,13.6643,23.71,96,100,1.23,AO,1681093060
205,jiuquan,39.7432,98.5174,7.71,49,65,3.53,CN,1681093061
206,burnie,-41.0667,145.9167,16.92,40,0,2.63,AU,1681093061
207,salisbury,51.0693,-1.7957,11.09,92,100,3.6,GB,1681093062
208,kapit,2.0167,112.9333,29.81,65,86,0.36,MY,1681092881
209,janossomorja,47.7862,17.136,6.06,94,23,3.6,HU,1681093062
210,muros,42.7762,-9.0603,11.72,91,100,2.42,ES,1681093062
211,la sarre,48.8002,-79.1996,1.88,85,16,5.11,CA,1681092936
212,lavrentiya,65.5833,-171.0,-17.18,71,30,4.09,RU,1681092796
213,tombouctou,20.0,-3.0,24.37,17,100,7.05,ML,1681093064
214,koshki,54.2091,50.4677,3.3,57,9,1.93,RU,1681093064
215,grants,35.1473,-107.8514,14.13,14,0,4.12,US,1681093065
216,necochea,-38.5473,-58.7368,20.05,57,82,4.88,AR,1681093065
217,hobyo,5.3505,48.5268,28.55,72,82,7.24,SO,1681093065
218,umm lajj,25.0213,37.2685,27.19,56,100,5.62,SA,1681093066
219,ogembo,-0.7984,34.7253,14.37,95,15,1.99,KE,1681093066
220,port lincoln,-34.7333,135.8667,17.72,64,74,5.55,AU,1681093066
221,pekalongan,-6.8886,109.6753,31.67,72,97,0.64,ID,1681093066
222,maitum,6.0392,124.4986,28.77,72,100,0.57,PH,1681093067
223,puerto escondido,15.85,-97.0667,28.46,69,20,2.57,MX,1681092804
224,palmer,42.1584,-72.3287,6.35,51,0,5.14,US,1681092759
225,diamantino,-14.4086,-56.4461,22.61,94,48,0.64,BR,1681093068
226,kushiro,42.975,144.3747,9.53,61,75,4.63,JP,1681093068
227,andapa,-14.65,49.65,20.43,99,100,0.69,MG,1681093068
228,ulaangom,49.9811,92.0667,-2.57,36,86,2.72,MN,1681093068
229,felanitx,39.4696,3.1483,12.2,82,100,0.78,ES,1681093069
230,totskoye,52.5248,52.7623,4.13,47,86,1.68,RU,1681093069
231,fremont,37.5483,-121.9886,21.98,52,0,5.14,US,1681092782
232,micheweni,-4.9667,39.8333,26.46,82,92,1.73,TZ,1681093070
233,hofn,64.2539,-15.2082,6.86,96,100,8.88,IS,1681093070
234,labuhan,-6.8844,112.2051,28.25,71,63,3.11,ID,1681093071
235,port macquarie,-31.4333,152.9167,21.05,35,0,3.38,AU,1681093072
236,mehamn,71.0357,27.8492,2.97,87,75,8.23,NO,1681093072
237,talaja,21.35,72.05,28.08,37,1,4.9,IN,1681093072
238,huilong,31.8111,121.655,16.95,65,65,5.6,CN,1681093072
239,adrar,20.5022,-10.0711,22.65,38,80,7.49,MR,1681093073
240,westport,41.1415,-73.3579,6.75,69,0,3.09,US,1681093073
241,cabo san lucas,22.8909,-109.9124,26.61,27,40,2.57,MX,1681093073
242,saldanha,-33.0117,17.9442,13.03,77,65,6.07,ZA,1681093074
243,madridejos,39.4682,-3.532,14.84,39,27,3.27,ES,1681093074
244,kodiak,57.79,-152.4072,-3.27,43,0,12.86,US,1681093074
245,maryville,35.7565,-83.9705,13.08,66,15,1.45,US,1681093074
246,menongue,-14.6585,17.691,15.47,69,100,1.6,AO,1681092793
247,vallenar,-28.5708,-70.7581,20.2,63,2,0.82,CL,1681093075
248,yakima,46.4665,-120.6678,14.69,65,0,9.26,US,1681093075
249,alice springs,-23.7,133.8833,31.79,13,10,4.12,AU,1681093075
250,bowen,-20.0167,148.2333,27.56,49,0,2.18,AU,1681093076
251,rawicz,51.6095,16.8585,6.64,100,84,1.4,PL,1681093076
252,toora-khem,52.4675,96.11,-7.39,48,90,1.89,RU,1681093076
253,pandan,14.0453,124.1694,27.93,69,51,6.36,PH,1681092799
254,klaksvik,62.2266,-6.589,6.51,94,100,13.07,FO,1681093077
255,lulea,65.5842,22.1547,-3.96,93,100,1.54,SE,1681093077
256,sinnamary,5.3833,-52.95,24.99,87,12,3.49,GF,1681093077
257,tilichiki,60.4667,166.1,-7.3,85,100,5.72,RU,1681093077
258,jalu,29.0331,21.5482,15.51,67,5,7.4,LY,1681093078
259,fortuna,40.5982,-124.1573,14.25,80,100,0.45,US,1681092906
260,waingapu,-9.6567,120.2641,25.13,91,100,4.22,ID,1681093079
261,dayong,25.0209,118.2898,22.8,44,0,0.68,CN,1681093079
262,shahreza,32.0339,51.8794,13.48,30,100,1.65,IR,1681093079
263,zambezi,-13.5432,23.1047,17.59,94,97,1.92,ZM,1681093080
264,bambamarca,-6.6833,-78.5333,12.09,98,97,1.51,PE,1681093081
265,iqaluit,63.7506,-68.5145,-24.15,84,20,0.0,CA,1681093082
266,tezu,27.9167,96.1667,29.18,32,21,0.34,IN,1681092439
267,pontes e lacerda,-15.2261,-59.3353,21.84,97,67,1.03,BR,1681093082
268,jadu,31.953,12.0261,9.91,67,0,1.94,LY,1681093083
269,puerto baquerizo moreno,-0.9,-89.6,27.08,72,36,0.94,EC,1681093084
270,san policarpo,12.1791,125.5072,27.88,72,100,6.02,PH,1681093084
271,mahebourg,-20.4081,57.7,25.16,83,40,5.14,MU,1681093085
272,datong,40.0936,113.2914,17.31,17,23,9.14,CN,1681093085
273,esperance,-33.8667,121.9,21.04,64,4,5.34,AU,1681093085
274,grindavik,63.8424,-22.4338,4.26,87,75,5.66,IS,1681093085
275,ilulissat,69.2167,-51.1,-4.99,93,40,5.66,GL,1681093086
276,hasaki,35.7333,140.8333,20.16,53,1,7.97,JP,1681093086
277,urumqi,43.801,87.6005,7.53,76,0,1.0,CN,1681093086
278,mandurah,-32.55,115.7,22.17,63,89,8.23,AU,1681092653
279,aklavik,68.2191,-135.0107,-11.34,92,100,4.95,CA,1681093087
280,pacifica,37.6138,-122.4869,20.32,65,40,8.75,US,1681092872
281,pacific grove,36.6177,-121.9166,19.25,54,0,2.68,US,1681092863
282,shenjiamen,29.9576,122.298,14.62,82,1,7.85,CN,1681093089
283,gamba,-2.65,10.0,24.26,91,100,1.67,GA,1681093089
284,la ronge,55.1001,-105.2842,11.14,32,20,1.54,CA,1681093089
285,tiznit,29.5833,-9.5,20.35,22,71,2.23,MA,1681093089
286,banda aceh,5.5577,95.3222,27.78,71,94,1.98,ID,1681092794
287,moussoro,13.6408,16.4901,30.93,13,100,1.47,TD,1681093090
288,kapoeta,4.7717,33.5903,26.53,49,14,5.51,SS,1681093091
289,capreol,46.706,-80.9225,1.42,75,0,5.14,CA,1681093091
290,thompson,55.7435,-97.8558,6.09,56,20,1.03,CA,1681093092
291,nikolskoye,59.7035,30.7861,2.67,98,99,1.66,RU,1681093092
292,aranda de duero,41.6704,-3.6892,10.89,55,90,2.43,ES,1681093092
